Computer_Description,Selling_Price
"ViprTech Gaming PC Computer Desktop - Intel i5-650, Radeon R7 250 2GB, 8GB RAM, 500GB HDD, RGB, WiFi, Windows 10 Pro",$449.95 –
"HP EliteDesk 800 G1 Desktop Mini Business PC Computer, Intel Quad Core i5, 16GB RAM, 512GB Solid State Drive, Windows 10 Professional, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",$297.99 (4 Offers)–
"HP EliteDesk 800 G2 Desktop Mini Business PC Computer, Intel Quad Core i5-6500T, 16GB RAM, 1TB SSD, Windows 10 Pro, 23.6"" FHD LED Monitor, 16GB Flash Drive, Wireless Keyboard & Mouse, WiFi",$476.99 (3 Offers)–
"HP ProDesk 400 G4 Mini Desktop Computer, Intel Six-Core i5-8500T, 8GB RAM, 256GB SSD, Windows 10 Pro (Renewed)",$370.00 (3 Offers)–
"ViprTech.com Snowstorm Gaming PC Computer Desktop - AMD Ryzen 3 2200G, AMD Radeon Vega 8 2GB, 8GB DDR4 RAM, 128GB M.2 SSD, 500GB HDD, RGB, WiFi, Windows 10 Pro, 1 Year Warranty",$599.95 –
"HP Gaming Computer, Intel Quad-Core i7, GeForce GT 730, 16GB DDR3 RAM, 2TB HDD , DVD, WiFi, Bluetooth, Windows 10 Home, Rainbow Keyboard and Mouse",$634.23 –
"HP Gaming Computer, Intel Quad-Core i5, GeForce GT 730, 240GB SSD + 1TB HDD, 16GB DDR3 RAM, DVD, WiFi, Bluetooth, Windows 10 Home, Rainbow Keyboard and Mouse",$588.23 –
"ViprTech Gaming PC Computer Desktop - AMD Ryzen 5 1600, AMD RX 570 4GB, 8GB DDR4 RAM, 1TB HDD, VR-Ready, RGB, WiFi, Windows 10 Pro",$824.95 (2 Offers)–
Dell Precision T1700 SFF Computer PC i7 4770 3.4Ghz NVIDIA GeForce GT 1030 2GB 32GB DDR3 RAM 512GB SSD Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$585.99 (2 Offers)–
"Gaming HP 600 G2 SFF Desktop Intel core i5-6th gen | 8GB RAM, 25GB SSD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 11 Pro",$558.34 –
"Gaming HP 600 G2 SFF Desktop Intel core i5-6th gen | 16GB RAM, 480GB SSD |New 24"" LED Monitor | RGB Keyboard and Mouse | 4 in 1 USB Hub | AMD Radeon RX-550 4GB DDR5 Graphics, WiFi, Windows 10 Pro",$857.48 –
ABS Challenger Gaming PC - Windows 11 Home - Intel i5 11400F - GeForce RTX 3050 - 16GB DDR4 3200MHz - 512GB M.2 NVMe SSD,"$1,099.99 (2 Offers)–"
"Skytech Blaze Gaming PC Desktop – INTEL Core i7 11700F 2.5 GHz, RTX 3060 Ti, 1TB NVME SSD, 16G DDR4 3200, 600W GOLD PSU, 240mm AIO, AC Wi-Fi, Windows 10 Home 64-bit","$1,499.99 (2 Offers)–"
"SkyTech Blaze II Gaming Computer PC Desktop - Ryzen 5 3600 6-Core 3.6GHz, GTX 1650 4G, 500G SSD, 8GB DDR4 3000, B450 MB, RGB, AC WiFi, Windows 10 Home 64-bit",$899.99 –
"ViprTech.com Blackout Gaming PC Desktop Computer - AMD A10 (10-Core), AMD Radeon R7 2GB Graphics, 8GB DDR4 RAM, 500GB HDD, USB3.0, WiFi, RGB, Windows 10 Pro, 1 Year Warranty",$439.95 –
"Dell OptiPlex 9020 Ultra Small Business PC Desktop Computer, Intel Quad Core i5, 8GB RAM, 256GB SSD, Windows 10 Pro, 23.6"" FHD LED Monitor, 16GB Flash Drive, Wireless Keyboard & Mouse, DVD, WiFi",$359.99 (4 Offers)–
"Periphio Reaper Gaming PC Computer - AMD Ryzen 7 5700G 4.6GHz, Radeon Vega 8 (4GB) iGPU, 16GB DDR4 3600MHz Gaming RAM, 250GB NVME M.2 SSD + 1TB HDD, Windows 10 Gaming PC, 5G Wi-Fi (Windows 11 Ready)",$999.97 (4 Offers)–
"HP Gaming Computer, Intel Quad-Core i5, GeForce GT 1030, 16GB DDR3 RAM, 1TB SSD, DVD, WiFi, Bluetooth, Windows 10 Home, Rainbow Keyboard and Mouse (Renewed)",$563.23 –
"Gaming HP 600 G2 SFF Desktop Intel core i5-6th gen | 16GB RAM, 128GB SSD, 1TB HDD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 11 Pro",$597.83 –
"HP ProDesk Desktop Customized RGB Lights Computer Intel Core i5 4570 3.2 GHz 8GB RAM 256GB SSD Win 10 Pro WIFI, HAJAAN Gaming PC Keyboard & Mouse",$209.99 –
"Gaming Dell 5040 SFF Computer Core i5 6th, 16GB Ram, 2TB HDD, AMD RX 550, Keyboard and Mouse, Wi-Fi, Win10 Home Desktop PC",$322.99 –
"Gaming HP 600 G1 SFF Desktop Intel core i5-4th gen | 8GB RAM, 128GB SSD, 1TB HDD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 11 Pro",$474.82 –
"Gaming  HP 600 G2 SFF Desktop Intel core i5-6th gen | 8GB RAM, 256GB SSD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 10 Pro",$558.34 –
"Periphio Ember Gaming Computer, Tower PC, Intel Quad-Core i5 3.1GHz, 8GB RAM, 128GB SSD + 1TB 7200 RPM HDD, Windows 10, GeForce GTX 1650 4GB Overclocked Edition Graphics Card RGB HDMI Wi-Fi",$999.99 –
"ViprTech.com Avalanche Gaming PC Computer Desktop - AMD Ryzen 5 1600, AMD Radeon RX 580 4GB, 16GB DDR4 RAM, 2TB HDD, VR-Ready, RGB, WiFi, Windows 10 Pro",$949.95 (2 Offers)–
"Mini Computers Windows 10, 4GB DDR4 128GB eMMC Mini PC Intel Celeron N4020(up to 2.8 GHz), Micro Computer 4K Suppport Dual Display, 2.4/5G WiFi Bluetooth 5.0, Gigabit Ethernet, For Business, HTPC",$169.00 –
HP Z240 SFF Workstation Computer PC i7 6700 3.4Ghz 32GB DDR3 RAM 1TB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with HAJAAN Gaming PC Keyboard & Mouse HDMI,$629.99 –
Dell Desktop Computer w/ RGB Lighting | Intel Quad-Core i5 | 16GB DDR3 RAM | 240GB SSD + 1TB HDD | WIFI + Bluetooth | Windows 10 PC (Renewed),$279.99 –
DELL Desktop Computer Precision 3240 Compact 23H83 Intel Core i7 10th Gen 10700 (2.90GHz) 16GB DDR4 512 GB PCIe SSD Intel UHD Graphics 630 Windows 10 Pro 64-bit,"$1,209.99 (2 Offers)–"
ABS Gladiator Gaming PC - Intel i7 12700KF - GeForce RTX 3070 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,"$2,399.99 –"
HP EliteDesk 800 G1 SFF Computer PC i5 4570 3.2Ghz 16GB DDR3 RAM 512GB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with Desktop PC Keyboard & Mouse HAJAAN HC120 HDMI,$369.99 –
ABS Master Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,"$1,299.99 (2 Offers)–"
"HP ProDesk Desktop Customized RGB Lights Computer Intel Core i5 6500 3.2 GHz 8GB RAM 256GB SSD Win 10 Pro WIFI, HAJAAN Gaming PC Keyboard & Mouse",$269.99 –
RGB Lights Desktop PC - HP ProDesk Computer Intel Core i7 4th Generation Processor 16GB RAM 256GB SSD Win 10 Pro WIFI HAJAAN Gaming PC Keyboard & Mouse,$359.99 –
Dell Desktop Computer w/ RGB Lighting | Intel Quad-Core i5 | 16GB DDR3 RAM | 240GB SSD | WIFI + Bluetooth | Windows 10 PC (Renewed),$259.97 –
Refurbished HP Desktop Computer ProDesk 600 G2 Intel Core i5 6th Gen 6500 (3.20 GHz) 8 GB DDR4 256 GB SSD + 500 GB HDD Windows 10 Pro 64-bit,$223.97 (9 Offers)–
Dell Desktop Computer w/ RGB Lighting | Intel Quad-Core i5 | 8GB DDR3 RAM | 500GB SSD | WIFI + Bluetooth | Windows 10 PC (Renewed),$229.97 –
Oversized mouse pad gaming gaming table mat increase thickening cute anime cartoon creative home keyboard pad,$24.90 –
IPASON - Gaming Desktop - 200GE (2 Core 4 Thread up to 3.2GHz) - 8GB DDR4 2666MHz- 120GB SSD - 550W PSU -Windows 10 home - RGB Fans - Gaming PC,$419.99 –
IPASON - Gaming Desktop - 200GE (2 Core 4 Thread up to 3.2GHz) - 8GB DDR4 2666MHz- 120GB SSD - 550W PSU -Windows 10 home - RGB Fans - Gaming PC,$419.99 –
IPASON - Gaming Desktop -Intel 10th i5 10400F (6 Core up to 4.3 GHz ) - Nvidia GT 1030 2GB - 500GB SSD NVMe - 8GB 3200MHz - B560M Motherboard - Windows 10 home - RGB Fans - Gaming PC,$729.99 –
Dell Precision T1700 SFF Computer PC i7 4770 3.4Ghz 32GB DDR3 RAM 1TB SSD NVIDIA GeForce GT 1030 2GB Win 10 Pro WIFI with Gaming PC Keyboard & Mouse HAJAAN HC510 HDMI,$617.99 –
ABS Master Gaming PC - Windows 11 Home - Intel i5 11400F - GeForce RTX 3060 - 16GB RGB DDR4 3200MHz - 512GB Intel M.2 NVMe SSD,"$1,299.99 (2 Offers)–"
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 12700KF - GeForce RTX 3070 - G.Skill TridentZ RGB 16GB DDR4 3200 MHz - 1TB Intel M.2 NVMe SSD,"$1,999.99 –"
"Mini PC,Desktop Computer,Intel Core i9 9880H,DDR4 Windows 10 Pro/Linux,4K Gaming UHD HTPC HD-MI DP,Minipc Desktop Computer,32GB Ram 512GB SSD",$797.99 (36 Offers)–
"HP Gaming Computer, Intel Quad-Core i7, GeForce GT 1030, 16GB DDR3 RAM, 2TB HDD , DVD, WiFi, Bluetooth, Windows 10 Home, Rainbow Keyboard and Mouse (Renewed)",$634.23 –
"Gaming HP 600 G2 SFF Desktop Intel core i5-6th gen | 8GB RAM, 25GB SSD | RGB Keyboard Mouse | 4 in 1 USB hub, AMD Radeon RX-550 4GB Graphics, WiFi, Windows 10 Pro","$1,999.99 –"
ABS Master Gaming PC - Windows 10 Home - Intel i5 10400F - ASUS TUF GeForce RTX 3060 - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,"$1,199.99 (2 Offers)–"
MSI Gaming Desktop Codex ZS 5TC-042US Ryzen 5 5000 Series 5600X (3.70GHz) 16GB DDR4 500 GB PCIe SSD NVIDIA GeForce RTX 3060 Windows 10 Home 64-bit,"$1,409.00 –"
"Periphio Sub-Terra Gaming PC Computer, Ultra-Fast Intel Core i5 6500, Integrated HD 530 Graphics, 16GB DDR4 RAM, 240GB SSD + 1TB HDD, Windows 10 Home, WIFI, iGPU Gaming",$519.99 –
"HP EliteDesk 8300 Ultra Small Form Business PC Desktop Computer, Intel Quad Core i5, 16GB RAM, 1TB SSD, Windows 10 Pro, 23.6"" FHD LED Monitor, 16GB Flash Drive, Wireless Keyboard & Mouse, DVD, Wi-Fi",$412.99 (2 Offers)–
iBUYPOWER Gaming Desktop SlateMono 239i Intel Core i5 11th Gen 11400F (2.60GHz) 8GB DDR4 480 GB SATA SSD NVIDIA GeForce GTX 1050 Ti Windows 11 Home 64-bit,$899.99 –
"Skytech Archangel Gaming PC Desktop – INTEL Core i5 10400F 2.9 GHz, RTX 3060, 500GB SSD, 16G DDR4 3200, 600W GOLD PSU, AC Wi-Fi, Windows 10 Home 64-bit",$999.99 (3 Offers)–
Lenovo Desktop Computer ThinkStation P340 SFF 30DK003RUS Intel Core i7 10th Gen 10700 (2.90 GHz) 16 GB DDR4 512 GB PCIe SSD Intel UHD Graphics 630 Windows 10 Pro 64-bit,"$1,144.81 (2 Offers)–"
ABS Gladiator Gaming PC - Windows 10 Home - Intel i7 11700KF - GeForce RTX 3070 - G.Skill TridentZ RGB 16 GB DDR4 3200MHz - 1TB Intel M.2 NVMe SSD,"$1,799.99 –"
"Gaming Dell 3040 SFF Computer Desktop PC Intel Core i5 6th Gen. 8GB Ram, 500GB HDD, AMD RX 550 4GB DDR5, Keyboard and Mouse, Wi-Fi, Windows 10",$394.99 (2 Offers)–
ABS Gladiator Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce RTX 3070 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,"$1,699.99 –"
ABS Challenger Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce GTX 1660 Super - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,"$1,149.99 –"
CyberpowerPC Gaming Desktop Gamer Master GM60900 Ryzen 7 5000 Series 5800X (3.80GHz) 16GB DDR4 1 TB PCIe SSD NVIDIA GeForce RTX 3060 Ti Windows 10 Home 64-bit,"$1,899.99 –"
"Periphio Vortex Gaming PC Desktop Computer Tower, Intel Quad Core i5 3.2GHz, 16GB RAM, 120GB SSD + 500GB 7200 RPM HDD, Windows 10, Nvidia GT1030 2GB, HDMI, Wi-Fi",$709.99 –
"Dell OptiPlex 3020 SFF Computer Desktop PC, Intel Core i5 Processor, 8GB Ram, 500 GB Hard Drive, 22"" LCD Monitor, BTO Wireless Keyboard & Mouse, BTO Wi-Fi & Bluetooth, Win 10 Pro (Renewed)",$264.99 (5 Offers)–
HP Desktop Computer Z2 Tower G5 2X3M1UT#ABA Intel Core i7 10th Gen 10700 (2.90GHz) 16GB DDR4 1TB HDD Intel UHD Graphics 630 Windows 10 Pro 64-bit,"$1,199.99 –"
Partaker 4K 10th Gen Mini PC i9 10980HK/i9 10885H 2 Lans 2*DDR4 64GB 2*M.2 PCIE SATA Gaming Computer WIN 10 Pro HD DP AC WiFi 64GB Ram 1TB SSD - OEM,"$1,272.79 (33 Offers)–"
