"product_description","product_price"
"Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM SSD HD","$369.99"
"Dell i5 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11","$150.00 to $530.00"
"Dell Desktop i7 Computer Windows 10 Pro PC 16GB RAM 256GB SSD 19"" LCD Wi-Fi","$144.99 to $357.49"
"Dell Windows 10 Pro Desktop Computer PC Quad Core i5 DVD WiFi 16GB RAM 1 TB HD","$195.00"
"Dell Desktop i7 Computer PC Intel Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi","$125.98"
"Dell i5 Desktop Computer PC 7010 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10","$99.00 to $350.00"
"Dell Gaming PC Xeon Computer Nvidia GT 1030 16GB 500GB 128GB SSD Windows 10 Pro","$364.99"
"Dell Desktop Tower Computer PC i7 4th Gen 3.9Ghz 16GB RAM 2TB HDD DVD WiFi Win10","$279.99 to $339.99"
"Dell i5 Desktop Computer PC 8GB RAM 1TB HD 19"" LCD Monitor Windows 10 Home WiFi","$132.27"
"Dell i7 Desktop Computer PC 7010 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10","$170.00 to $670.00"
"HP Desktop Computer PC Intel Core 2 Duo 4GB HD Windows 10 w/ 19"" LCD WIFI","$125.99"
"Dell Desktop Computer QUAD CORE i5 WINDOWS 11 Pro PC 16GB 2TB 480GB SSD 22""LCD","$139.72 to $399.84"
"Desktop Computer PC Windows XP PRO SP3 32bit,Serial 9PIN & Parallel Port 2GB RAM","$89.99"
"New ListingDell Optiplex 5060 - 6 Core Intel i5-8500 + 8GB DDR4 RAM [No Storage]","$250.00"
"HP Desktop Computer PC | i7-6700 | 32GB RAM | 1TB SSD + 3TB HDD | Windows 11 Pro","$569.49"
"HP Desktop Computer Intel i3 16GB 2TB HD 256GB SSD Windows 10 PC 22"" LCD Wi-Fi","$149.94 to $399.94"
"FAST Custom Lenovo PC i7 | Windows 10 PRO | 1TB SSD 16GB RAM | Mini Desktop PC","$209.99 to $679.96"
"Win 10 Pro Dell Gaming PC Computer i5 3.4ghz 8GB 16GB 1000GB HDD GTX 1650","$119.99 to $382.99"
"Lenovo PC up to Intel I7 16GB RAM 500GB SSD Win 10 ThinkCentre Desktop Computer","$149.99 to $369.99"
"Lenovo ThinkCentre M600 Tiny Mini PC Desktop Computer Intel Pentium Win10 Pro","$126.99 to $264.99"
"Intel NUC NUC6i3SYK 64GB 4GB RAM Mini computer","$100.00"
"HP Desktop 16GB RAM Windows 10 Home PC Intel i3 Computer 256GB SSD 22"" LCD Wi-Fi","$213.95"
"Desktop Computer PC Windows 7 Full Size Tower or SFF w/ DVDRW 4GB Ram 250GB HDD","$69.99"
"Windows PC Dell Pro Tower Desktop Computer Core 2 Duo Up to 8GB 1TB HD 22in LCD","$80.00 to $175.99"
"Dell Desktop Computer PC | Intel i5 Quad Core | 16GB RAM | 3TB HDD | Windows 10","$229.49"
"New ListingHP ProDesk 600 G1 Mini Desktop Computer Quad Core i5 4GB 120GB SSD Win10 Pro","$110.00"
"New ListingGaming Computer i7-6700k @ 4.00GHz, RX 580, 16gb RAM , 2TB HD, 250gb SSD","$650.00"
"New ListingIntel STCK1A8LFC 8GB PC Compute Stick with Linux","$40.00"
"WINDOWS 11 PC Dell Core i5 3.20GHz Desktop Computer PC HDMI DP VGA WiFi","$209.99 to $360.99"
"HP EliteDesk 800 G2 Desktop Mini PC Computer Barebones 35W NO CPU/RAM/HDD/AC","$30.00"
"HP All in One Computer 24 WINDOWS 11 16GB 512GB Bluetooth WEBCAM (FULLY LOADED)","$659.00"
"HP Elite 6005 Desktop Computer PC 3GHz 8GB RAM 250GB HDD Windows 10 17"" Monitor","$104.99"
"Dell OptiPlex 9020 SFF PC Intel Core i5 4590 8GB 500GB HDD Win 10 Pro- Good","$149.99"
"New ListingDell Optiplex 7070 Micro - Win 11 Pro, 256GB M.2 SSD, 16GB RAM, Intel i7-9700","$490.00"
"New Listinggaming pc desktop computer","$400.00"
"Dell Core I5 HDMI WiFI 4GB 250GB Windows 10 Desktop Computer 1 Year Warranty","$126.00"
"HP Prodesk Computer Desktop up to Intel i7 16GB RAM 500GB SSD Windows 10 Pro PC","$149.99 to $579.99"
"CLEARANCE!! Fast HP Desktop Tower Computer PC 3.1 Intel 500GB HDD WINDOWS 10 Pro","$99.95"
"HP Gaming Computer PC 16GB 2TB 512GB SSD Nvidia GT1030 Graphics Win 10 Desktop","$279.00 to $409.00"
"HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini PC Desktop Computer","$69.99"
"Dell i7 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11","$270.00 to $650.00"
"Dell Gaming Desktop Computer Nvidia GT 1030 16GB 1TB 512Gb SSD Windows 10 PC","$269.00 to $399.00"
"DELL OPTIPLEX COMPUTER SFF I5 6TH GEN 16GB 2TB 2 X 22"" WIDE LCD WIN 10 PRO WIFI","$177.00 to $589.00"
"Gaming PC Desktop Computer RGB i7 Intel 2TB HDD 16GB RAM GTX 1060 Nvidia","$729.99"
"Lenovo ThinkCentre M900 Tiny PC Core i5 6500T 8GB RAM 256GB SSD Win10 Desktop","$188.00"
"Dell Business Computer 8th Gen i3 8GB 256GB M.2 SSD Windows 10 Professional SFF","$255.00"
"New ListingIntel Compute Stick STK2M3W64CC 4GB Windows 10 Pro Core M3 4K Wi-Fi Weak Battery","$50.00"
"Dell Desktop i7 Computer PC SFF Intel Core 8GB RAM 1TB HD Windows 10 Home Wi-Fi","$219.12"
"Dell 390 Core i5 8GB 1TB Desktop Computer PC HDMI WiFi DVD Windows 10 Home Warra","$163.00"
"New ListingDell OptiPlex 3020 Computer i3-4130 3.4Ghz 4GB 500GB Windows 10 USB 3.0 B3020-1","$79.99"
"Dell Windows 10 Desktop Computer PC Intel Quad-Core i5 8GB RAM 256GB SSD WiFi BT","$133.09"
"Desktop Computer PC Windows XP PRO SP3 32bit RS232 Serial Parallel DVDROM 9PIN","$49.99 to $89.99"
"HP Desktop Computer FAST Core 2 Duo 2.66 4GB RAM 160GB DVD WiFi Windows 10 64bit","$99.95"
"Skytech Archangel Gaming PC Computer Intel Core i5 10400F 2.9 GHz RTX 3060","$1,099.99"
"Dell i5 Desktop 8GB RAM 500GB HD PC Intel Core Computer Windows 10 Home Wi-Fi","$115.48"
"Dell Windows 10 Desktop Computer PC Intel Quad-Core i5 8GB RAM 256GB SSD WiFi BT","$133.09"
"Dell SFF Desktop Computer PC Core i3 4GB Ram 500GB 19"" LCD Wi-Fi Speakers Win 10","$209.99"
"HP DC6000 COMPUTER DUAL CORE 2.8GHZ 250GB 2GB WINDOWS XP FREE SHIP! M6000-XP2","$64.99"
"Windows XP Desktop computer CPU Dell Optiplex 4GB ram 250GB Fast Duo Core 32 bit","$118.89"
"New ListingMini Desktop Gaming Computer AMD 5900X RTX 3080 FHR 32GB RAM 512GB SSD Ryzen l","$1,800.00"
"New Listing*Stick Computer**Azulle access 3(CUSTOM BUILD!!!). One Of A Kind!!Read Descript","$210.00"
"HP Desktop Computer WINDOWS 11 PRO 32GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED)","$549.00"
"HP 22"" Full-HD TOUCHSCREEN AMD 3.50GHz 1TB HDD 8GB Ram DVD+R All-in-One Computer","$444.28"
"Dell Computer & 22"" LCD bundle Core i5 8GB 500GB WiFi Windows 10 Desktop PC","$205.00"
"Windows 11 Dell OptiPlex Tower Dual core SSD 8GB RAM WiFi BT Desktop Computer PC","$210.99"
"New ListingDell Optiplex 7050 SFF PC Computer Intel Core i5-6500 3.20GHz 4GB RAM 250GB HDD","$79.99"
"Dell Windows 10 Desktop Computer Intel Core 2 Duo 4GB 250GB HD WIFI 19in LCD DVD","$127.58"
"Dell Gaming Tower Computer MT Nvidia GT 730 4GB, i5, WiFi, 16GB 128GB SSD + 2TB","$319.99"
"Dell Optiplex 9020 Tower PC Core i7-4770 32GB RAM 1TB SSD Windows 10 Pro Wifi BT","$412.99"
"HP Desktop i7 Computer PC Intel Core 8GB RAM 500GB HDD 19"" LCD Windows 10 Wi-Fi","$134.99"
"Dell Desktop computer PC ** WIFI ** 755 780 2.93GHz 250GB windows xp 32 bit","$119.89"
"New ListingDell OptiPlex 3020 SFF i5-4590 / 3.30GHZ 8GB RAM 500GB HDD Win 10 Pro","$98.00"
"New ListingHP EliteDesk 800 G4 USFF PC Intel Core i5-8500T 2.1GHz 6-Core 8GB 0HD NO PSU","$290.00"
"HP Desktop Computer PC 16GB 2TB 512GB SSD Wifi Core i5 Windows 10 PC 24"" 22"" LCD","$177.99 to $409.99"
"Dell Inspiron 3891 Desktop i5-11400 12GB RAM 256GB SSD+1TB HDD DVD-RW WiFi","$449.00"
"Desktop computer Dell Optiplex 755 / 780 Duo Core 4GB RAM 250GB Windows 7 32bit","$97.99"
"WIN11 Pro - Dell Optiplex 7040 Micro i5-6500T 2.50GHz 8GB 128GB SSD WIFI","$184.99"
"AMD Quad Core 4GB DVDRW Windows XP PC Computer 32 bit w/Parallel Serial PCI","$399.99"
"Dell Desktop Computer QUAD CORE i5 16GB RAM 2TB 512GB SSD WINDOWS 10 PC 24"" LCD","$160.99 to $360.99"
"CHUWI LarkBox Smallest 4K Mini PC Windows 10 Desktop Intel J4115 Computer 6+128G","$163.29"
"Dell Precision 3420 Desktop Intel Core i5 16gb Ram 500gb SSD Windows 10 Pro WiFi","$284.99"
"HP Windows 10 Desktop Computer PC Intel Core i5 8GB RAM 256GB SSD 19"" LCD Wi-Fi","$132.27"
"hp Desktop Computer 16GB 2TB 512GB SSD Wifi Core i5 Windows 10 PC 24"" 22"" LCD","$144.99 to $409.99"
"FIT PC2 Micro Tiny Windows 10 Streaming Desktop PC Computer HDMI WIFI SD 32G SSD","$69.99"
"hp Desktop PC Computer Core i5 Quad 8GB DUAL 22"" LCD Monitor WIFI Windows 10 Pro","$249.99"
"HP Desktop Computer 3.16GHz 4GB DVDRW Parallel Port Win XP Pro 32bit","$109.00"
"HP M01 DESKTOP INTEL QUAD CORE i3-10100 4.3GHz 8GB 1TB 7200RPM DVDRW","$269.99"
"HP S01 SLIM DESKTOP PC INTEL CELERON G5905 3.5GHz 4GB 1TB 7200RPM HD DVDRW","$179.99"
"New ListingHP Pro Z210 SFF Intel i5-2500 3.30GHz Desktop Computer Windows 10 Refurbished PC","$209.99"
"HP S01 SLIM DESKTOP PC INTEL CORE i5-10400 4.3GHZ 16GB 1TB 7200RPM HD DVDRW","$449.99"
"Dell Optiplex 3010 SFF i5-3470 3.20GHz Business Desktop Computer Windows 10 PC","$124.99 to $199.99"
"Dell Desktop Computer OptiPlex Core 2 Duo 4GB RAM 250GB HDD Windows 10 PC WIFI","$107.10"
"Dell Precision T3600 | Xeon E5-1650 3.2GHz | 16GB | GPU | 128GB SSD | Win 10 Pro","$179.99"
"New ListingLenovo ThinkCentre M715q Tiny Desktop Computer AMD Ryzen 5 Pro 3.8GHz Win10 Pro","$349.00"
"Intel NUC D54250WYKH Computer i5 4250U 8GB RAM 250 GB Includes AC Adapter","$140.00"
"HP Z420 CTO Workstation Computer w/ Heatsink 16GB RAM No CPU No HDD","$95.00"
"Lenovo Gaming Computer Nvidia GT1030 HDMI Windows 10 Core I5 Desktop PC Custom","$295.00 to $445.00"
"Dell Optiplex 9010/7010 MT Intel i5-3470 3.2GHz 8GB RAM 256GB SSD Windows 10 PRO","$139.99"
"New Listing⭐️ Raspberry Pi 4 Model B 2GB RAM Computer - New / Sealed ***IN HAND***⭐️","$109.99"
"New ListingDell Optiplex 7040 SFF Intel Core i7-6700 @ 3.40GHz 16GB RAM 500GB HDD No OS","$225.00"
"New ListingDell i5 Desktop Computer PC Intel Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi","$154.85"
"HP Pro 6300 Computer Dual Core 2.8Ghz 4GB 250GB USB 3.0 Windows 10 M6300-9","$65.99"
"Fast Dell TOWER Desktop Computer Core 2 Duo 4GB 250GB HDD Windows 7 pro 32bit","$95.00"
"Lenovo IdeaCentre AIO 3 AMD Desktop, 21.5"" FHD IPS Touch 250 nits","$429.99"
"Dell i5 Desktop Computer PC 7020 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10","$110.00 to $420.00"
"HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini Desktop Computer","$27.99"
"Dell OptiPlex 7040M Micro Desktop Tower 2.5GHz Core i5 8GB RAM No HD SSD w/Power","$159.99"
"LG Chromebase 21.5"" HD All-In-One, Intel Celeron 2955U. 4GB RAM","$99.99"
"Custom PC Cooler Master Intel i3-6300 @3.8GHz 8GB RAM No HDD","$139.99"
"Dell XPS 8940 i7-11700 16GB RAM 512GB SSD Integrated Graphics WiFi Black","$649.00"
"Dell Computer HDMI WiFi 8GB RAM Huge 1TB HDD - Intel Core I5 3.1 GHz Windows 10","$160.00"
"Dell Desktop i7 SSD + 1TB HD + 16GB Ram + Wifi + Windows 10 Pro + Free Warranty","$304.95"
"Dell Intel I7 Optiplex 7010 Computer Desktop Windows PC 16GB RAM 500GB SSD WiFi","$284.99"
"Dell Computer PC Core i5 8GB 16GB | 500GB 1TB SSD WiFi Windows 10 Professional","$145.00 to $265.00"
"Dell Business Desktop Computer Intel Core i5 PC 8GB 500GB HD Windows 10 22"" LCD","$219.99"
"Optiplex Dell 3.0GHz Tower 8GB 256GB Wifi Windows 10 Computer Monitor Combo","$154.99 to $199.99"
"Fast Dell Computer Tower Windows 7 Pro 32bit Intel core 2 Duo 3.07GHz 4GB 500GB","$120.00"
"Custom Dell Computer Intel i5 CPU Quad Core Windows 10 PC HDD SSD WiFi 22"" LCDs","$132.97 to $435.94"
"New ListingHP ProDesk 400 G4 MT i5-7500","$200.00"
"Dell Latitude E6540 Gaming Laptop Core i5 15.6"" 16GB Ram 512GB SSD Win 10 Pro","$379.99"
"Dell Inspiron 3668 SFF intel Core i5-7400, 3.00GHz, 12GBRam, 2TB HDD, Win.10 Pro","$180.00"
"Dell Optiplex 760 Desktop Computer Windows 10 Pro Core 2 Duo 4GB 500GB","$115.00"
"Dell Optiplex 960 FAST XP Desktop computer Intel duo core 2.90GHz WINDOWS XP","$126.76"
"New Listinggaming pc desktop computer used","$750.00"
"Lenovo Mini PC Tiny Desktop i7 / i5 Customize 32GB RAM 2TB SSD WIFI Win10 Pro","$190.00 to $759.96"
"New ListingHome Office Computer","$225.00"
"Dell Desktop Computer Precision T3420 16GB 256GB SSD Windows 10 Pro PC WIFI HDMI","$250.89"
"Dell Desktop Computer PC Core i5 3.2GHz 8GB RAM 240GB SSD WiFi DVD Windows 10 HD","$170.99"
"Dell Optiplex 9010 Tower PC Core i7 3rd Gen 16GB RAM 256 SSD Hard Drive Win 10","$220.00"
"New ListingHP Desktop Tower Computer PC Core 2 Duo 4GB Ram 500GB 19"" LCD WiFi Windows 10 PC","$193.50"
"New ListingHP ProDesk 600 G2 Mini i5-6500T 2.50GHz 8GB - No Hard Drive (B)","$120.00"
"New ListingAcer Zs600g All In One Computer","$300.00"
"Hp Desktop Computer 16GB 2TB 512GB SSD Wifi Core i5 Windows 10 PC 22"" LCD","$242.50"
"Lenovo ThinkCentre M93p SFF Intel i5-4570 3.20GHz Desktop Computer Windows 10 PC","$144.99 to $384.99"
"Dell Optiplex 7050 Mini Desktop Computer i7-6700T 32GB DDR4 New 2TB NVMe M.2 SSD","$259.99 to $769.99"
"HP Computer All in One 24"" WINDOWS 11 16GB 1TB Bluetooth WEBCAM (FULLY LOADED)","$659.00"
"New Listing🚩6-MONITOR TRADING COMPUTER XEON I7 (12-PROCESSOR) 3.33GHz🚩48GB🚩512GB SSD+3TB","$469.00"
"New ListingDell Precision T1700 (SSD + HDD, Intel Core i7 4th Gen., 3.6GHz, 16GB RAM)","$200.00"
"Dell XPS 8940 i7-11700 32Gb RAM 512GB SSD+1TB HDD WiFi (Integrated Graphics)","$719.00"
"Dell Optiplex 9010/7010 MT Intel i7-3770 3.4GHz 16GB RAM 512GB SSD Win 10 Pro","$224.99"
"Dell Inspiron 3650 Intel i5-6400 @2.7GHz 8GB RAM 240GB SSD Win 10 Pro","$179.99"
"Xtra-PC Pro 64","$49.99"
"Dell OptiPlex 7040 SFF Desktop, i5 6500, 8GB RAM, 256GB SSD, Win10","$174.99"
"HP Core i5 Gaming Computer 16GB 2TB Nvidia GT1030 Graphics Windows 10 Desktop","$356.00"
"HP Desktop Computer Tower PC Core i5 8GB 1TB Windows 10 Pro Dual 22 LCD Mon WiFi","$293.94"
"Dell Computer Intel Core i3 3.6 Ghz 8 GB Ram 1024 GB HDD Windows 10 Home 64-bit","$222.72"
"New Listinggaming computer intel core i5 8gb ram nvida gtx 1060","$500.00"
"New ListingKhadas VIM3 Pro Single Board Computer, Amlogic A311D, M.2 SSD Adapter","$150.00"
"New ListingGIGABYTE BRIX GB-BXi7-4770R 240gb SSD, Intel i7-4770R, 3.20GHz, 16GB Ram MiniPC","$215.00"
"HP EliteDesk 800 G3 SFF / Intel i7-6700 ,8GB RAM, No HDD","$180.00"
"DELL PRECISION T3500 Xeon 2.8GHz Computer w/ 12GB RAM, 500GB HDD, WINDOWS 10 PRO","$129.00"
"Dell OptiPlex 980 Windows 10 Desktop Computer Intel i5 3.2GHz 8GB RAM 320GB PC","$133.64"
"Dell Optiplex Quad Desktop USFF i7-4770 3.2GHZ 16GB 512gb SSD WIFI Win 10 PRO","$269.99"
"New ListingDell Optiplex 7010 SFF Intel Core i7-3770 @ 3.40GHz 8GB RAM 250GB HDD DVD-RW","$99.99"
"New ListingDell Desktop Computer Intel Quad Core i5 Windows 10 Pro PC 8GB 512GB SSD HD WIFI","$163.50"
"New ListingFast HP Desktop Computer 3.0GHz 8GB RAM 500GB HD PC Windows 10 WiFi DVD","$129.50"
"Dell Business Computer 8GB RAM 512GB SSD Core I5 Desktop PC Windows 10 22"" LCD","$259.00"
"New ListingHP Business Desktop Computer Intel Core i5 -3 Ghz 8 GB Ram 256 GB HDD Windows 10","$274.49"
"Dell Optiplex 755 Desktop computer Fast Core 2 Duo 2.93GH windows 7 - CNC - WIFI","$112.69"
"New Listingacer all in one desktop computer","$125.00"
"New ListingDell XPS 8500 Intel i5-3550 16gb RAM WINDOWS 10 Quadro K620","$169.99"
"New ListingDell OptiPlex 3010 Computer i3-3240 3.4Ghz 4GB 250GB HDMI Win 10 DVD M3010-1","$69.99"
"New ListingDell i5 Desktop Tower Computer Windows 10 Pro PC Intel Core 8GB RAM 1TB HD Wi-Fi","$160.99"
"New ListingDell Precision Tower 3620 Xeon E3-1220 v5 @3.0 GHz 16GB RAM, NO HDD, Nvidia K420","$125.00"
"desktop computers","$385.00"
"New ListingDell Inspiron 22"" AIO, i3-6100U, 6GB DDR3L, 500GB HDD, Win10P, (Very Good)","$149.99"
"Dell XPS 8940 i7-11700 32Gb RAM 512GB SSD+1TB HDD WiFi (Integrated Graphics)","$799.00"
"New ListingLenovo ThinkCentre Tiny M73 Intel i3-4130T 2.90GHz 4GB with Power Adapter","$83.00"
"Dell Desktop computer Tower Optiplex GX620 2.80GHz 2GB RAM Windows XP PRO sp3","$139.69"
"HP EliteDesk 800 G1 Mini PC i5-4590T Windows 10 Pro 120GB SSD 4GB - USB Wi-Fi","$99.00"
"Dell Optiplex 9020 Micro WiFi i5-4590T 2.00GHz Desktop Computer Windows 10 PC.","$194.99 to $339.99"
"CHUWI HeroBox Windows 10 MINI PC Intel J4125 8GB DDR4 256G SSD Dual WiFi","$174.79"
"Custom Build HP Desktop i5 16GB | 2TB | K+M | Windows 11 Display Port WiFi BT PC","$95.76 to $337.97"
"Dell i5 Quad Core 16GB 2TB 480SSD 22"" 24""LCD WiFi Windows 10 Desktop Computer PC","$209.99 to $364.99"
